,comment_id,anonymous,graduating_year,job_title,tagline,created_at,program,overall_score,overall,curriculum,job_support,school
0,306068,True,2023,Full stack development,Now I can do it,10/31/2023,,5.0,5.0,5.0,5.0,ironhack
1,305297,False,2023,Full Stack Web Developer,It was good,10/2/2023,Web Development Bootcamp,4.0,5.0,3.0,4.0,ironhack
2,305278,False,2023,Product Designer,Ironhack 100% Worth It!,9/30/2023,UX/UI Design Bootcamp,5.0,5.0,5.0,5.0,ironhack
3,305231,True,2023,,Still waiting a refund,9/28/2023,Web Development Bootcamp,1.0,1.0,1.0,1.0,ironhack
4,305096,True,2023,Web Development,Transformative Learning Experience - A Review of Ironhack,9/22/2023,Web Development Part-Time,4.3,4.0,5.0,4.0,ironhack
5,305091,False,2023,Data Analyst,A very frustrating yet exciting experience,9/22/2023,Data Analytics Part-Time,4.3,4.0,5.0,4.0,ironhack
6,305014,False,2023,UX designer,Excellent Course Experience at Ironhack,9/20/2023,UX/UI Design Part-Time,5.0,5.0,5.0,5.0,ironhack
7,304980,False,2023,Fullstack Web DxA very intensive 9-week bootcamp and an incredibly challenging experience.eveloper,A very intensive 9-week bootcamp and an incredibly challenging experience.,9/19/2023,Web Development Bootcamp,5.0,5.0,5.0,5.0,ironhack
8,304977,False,2023,,"Great, hard and satisfying experience",9/19/2023,Data Analytics Part-Time,5.0,5.0,5.0,5.0,ironhack
9,304968,False,2023,Fullstack Web Developer,A unique knowledge experience!!,9/18/2023,Web Development Part-Time,5.0,5.0,5.0,5.0,ironhack
10,304955,True,2023,Web Developer,Amazing learning experience,9/18/2023,Web Development Part-Time,4.3,4.0,5.0,4.0,ironhack
11,304781,False,2023,,Intensa y gratificante,9/11/2023,Web Development Bootcamp,4.0,4.0,4.0,4.0,ironhack
12,303473,False,2023,Educationalist,Intensely rewarding!,8/2/2023,Data Analytics Part-Time,4.3,5.0,4.0,4.0,ironhack
13,303383,True,2023,Frontend developer,Amazing Teachers and Classes!,7/31/2023,Web Development Part-Time,4.7,5.0,4.0,5.0,ironhack
14,303371,False,2023,Web Development,Hard but I would do it again,7/31/2023,,4.3,4.0,4.0,5.0,ironhack
15,302783,True,2023,Tracking specialist,Overall positive,7/11/2023,Web Development Bootcamp,4.7,5.0,5.0,4.0,ironhack
16,302774,True,2023,,Awesome!,7/11/2023,,5.0,5.0,5.0,5.0,ironhack
17,302682,True,2023,,"The bootcamp in general is good, but not worth 8 thousand euros.",7/7/2023,UX/UI Design Bootcamp,2.7,3.0,2.0,3.0,ironhack
18,302245,False,2023,,The Bootcamp experience was very mixed and there is definitely potential for optimization.,6/22/2023,UX/UI Design Bootcamp,2.0,2.0,2.0,2.0,ironhack
19,301920,False,2023,,"Updated content, great teacher, exciting projects, amazing experience.",6/10/2023,Web Development Bootcamp,4.7,5.0,5.0,4.0,ironhack
20,301899,False,2023,,Inolvidable,6/9/2023,Web Development Bootcamp,4.7,5.0,5.0,4.0,ironhack
21,301673,False,2023,fullstack web developer,Great experience,5/31/2023,Web Development Bootcamp,5.0,5.0,5.0,5.0,ironhack
22,301626,True,2023,,About my experience in IronHack coming with 0 background on coding,5/30/2023,,5.0,5.0,5.0,5.0,ironhack
23,301623,True,2023,,"Unfortunately, not what I expected.",5/30/2023,Web Development Bootcamp,1.0,1.0,1.0,,ironhack
24,301622,False,2023,,Very rewarding and enriching,5/30/2023,Web Development Part-Time,5.0,5.0,5.0,5.0,ironhack
25,301566,True,2023,,Bootcamp only for really beginers,5/27/2023,Web Development Bootcamp,1.3,2.0,1.0,1.0,ironhack
26,301007,False,2023,Full stack web developer,¡Un inicio increíble para comenzar una nueva vida!,5/9/2023,Web Development Part-Time,5.0,5.0,5.0,5.0,ironhack
27,301003,True,2023,Web developer,Intense and awesome,5/9/2023,Web Development Part-Time,5.0,5.0,5.0,5.0,ironhack
28,300758,True,2023,HR,"intensiv &amp; stressful, support of teaching team great",4/30/2023,UX/UI Design Bootcamp,5.0,5.0,5.0,,ironhack
29,300701,False,2023,Credit risk analyst,Amazing experience!,4/27/2023,Data Analytics Bootcamp,5.0,5.0,5.0,5.0,ironhack
30,300599,True,2023,Product designer,Great bootcamp if you want to change career!,4/25/2023,UX/UI Design Bootcamp,5.0,5.0,5.0,5.0,ironhack
31,300597,False,2023,,Great way to become a web dev,4/25/2023,Web Development Bootcamp,4.0,4.0,4.0,4.0,ironhack
32,300526,False,2023,,It was well structured and very encouraging Team,4/21/2023,Data Analytics Bootcamp,4.3,5.0,5.0,3.0,ironhack
33,300130,False,2023,Data engineer,Awesome,4/11/2023,Cybersecurity Part-Time,4.3,4.0,5.0,4.0,ironhack
34,300057,True,2022,,"Good classes, really bad ""career service""",4/8/2023,Web Development Bootcamp,2.0,1.0,4.0,1.0,ironhack
35,299681,False,2022,Ux Designer,Boost to my career,3/29/2023,UX/UI Design Bootcamp,4.7,5.0,5.0,4.0,ironhack
36,299425,False,2023,Software Engineer,A good inversion,3/22/2023,Web Development Bootcamp,4.0,4.0,4.0,4.0,ironhack
37,299312,True,2023,,Amazing and life changing,3/18/2023,Web Development Bootcamp,4.0,4.0,4.0,4.0,ironhack
38,299301,False,2023,ux ui designer,"Tough, but so much fun and highly efficient",3/18/2023,UX/UI Design Bootcamp,5.0,5.0,5.0,5.0,ironhack
39,299046,True,2023,,I regretted not having asked former students and having informed myself sufficiently,3/13/2023,UX/UI Design Bootcamp,1.7,2.0,2.0,1.0,ironhack
40,298679,True,2023,Supply Chain Manager,"Supply Chain Manager, in process to make a career switch to Data universe",3/6/2023,Data Analytics Part-Time,5.0,5.0,5.0,5.0,ironhack
41,298019,True,2023,,An experience to try!,2/15/2023,Data Analytics Bootcamp,4.3,5.0,5.0,3.0,ironhack
42,297671,False,2023,,Intense experience,2/7/2023,Web Development Bootcamp,3.7,4.0,4.0,3.0,ironhack
43,297668,True,2023,Cybersecurity analysts,It was the best experience ever,2/7/2023,Cyber Security Bootcamp,5.0,5.0,5.0,5.0,ironhack
44,297606,False,2023,data analyst,A very hard earned introduction to data analytics !,2/6/2023,Data Analytics Bootcamp,4.3,5.0,4.0,4.0,ironhack
45,297578,True,2023,,Waste of money and time. Disappointing.,2/4/2023,Cyber Security Bootcamp,1.7,1.0,2.0,2.0,ironhack
46,297561,True,2023,,Good experience,2/3/2023,Cyber Security Bootcamp,4.0,4.0,4.0,4.0,ironhack
47,297202,False,2023,UX UI Designer,AWESOME IRONHACK EXPERIENCE,1/27/2023,UX/UI Design Bootcamp,5.0,5.0,5.0,5.0,ironhack
48,297188,False,2023,,Incredible experience.,1/27/2023,Data Analytics Part-Time,5.0,5.0,5.0,5.0,ironhack
49,297136,False,2023,Marketing Manager,So great experience,1/26/2023,UX/UI Design Bootcamp,4.7,5.0,5.0,4.0,ironhack
50,297018,True,2023,,"Great experience, best decision of 2022",1/24/2023,Data Analytics Part-Time,4.0,4.0,4.0,4.0,ironhack
51,297010,True,2023,,Roller Coaster of Feelings,1/24/2023,Web Development Part-Time,3.7,4.0,4.0,3.0,ironhack
52,296291,False,2021,Product Manager,Amazing learning experience,1/1/2023,Web Development Bootcamp,4.0,5.0,4.0,3.0,ironhack
53,296287,False,2021,UXUI Designer,The amazing life changing experience,12/31/2022,UX/UI Design Bootcamp,5.0,5.0,5.0,5.0,ironhack
54,296286,False,2021,Analista de Desenvolvimento Web,Muito bom!,12/31/2022,Web Development Part-Time,5.0,5.0,5.0,5.0,ironhack
55,296258,False,2022,intern,Improvement On my professional career.,12/29/2022,Web Development Part-Time,3.3,4.0,4.0,2.0,ironhack
56,296252,False,2021,"Anls, Full-Stack Developer",Excellent web development course,12/29/2022,Web Development Bootcamp,5.0,5.0,5.0,5.0,ironhack
57,296251,False,2022,Data Analyst,Studying Data Analytics at Ironhack was lifechanging,12/29/2022,Data Analytics Part-Time,5.0,5.0,5.0,5.0,ironhack
58,296250,False,2021,,Great place to learn,12/29/2022,Web Development Part-Time,4.0,4.0,4.0,4.0,ironhack
59,296249,False,2021,,Amazing,12/29/2022,Web Development Part-Time,5.0,5.0,5.0,5.0,ironhack
60,296206,False,2022,FullStack Developer,Full Stack Web Developer is Ironhack!,12/27/2022,Web Development Part-Time,5.0,5.0,5.0,5.0,ironhack
61,296105,False,2022,Fullstack Engineer,"The most amazing and mesmerising experience, completely changed my life",12/22/2022,Web Development Bootcamp,5.0,5.0,5.0,5.0,ironhack
62,296087,False,2021,UX UI Designer,UX UI Design bootcamp,12/22/2022,UX/UI Design Bootcamp,4.3,5.0,5.0,3.0,ironhack
63,296064,False,2022,Tech analyst,"Amazing, life changing and Intense",12/21/2022,Web Development Bootcamp,5.0,5.0,5.0,5.0,ironhack
64,296014,False,2022,Data Analyst,Best choice ever,12/20/2022,Data Analytics Bootcamp,5.0,5.0,5.0,5.0,ironhack
